Label,Sentence,Array
normal,we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum,"threatened,stole,outrageous act,poor treatment,alienate"
normal,tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already,"punched,raped,starved,torturing,mugging"
normal,<percent> cotton thigh highs to avoid contact with any gay chemicals,"false,incorrect,wrong,challenge,persuade,change minds"
normal,oomf a <number> yearl old closet gay and obsessed with me someone help,"killed,annhilate,destroy"
normal,fellas be careful she texting other niggas,"killed,annhilate,destroy"
normal,italian niggas call they dick the poozingi,"punched,raped,starved,torturing,mugging"
normal,<user> <user> people act as if you can not say the same about the states obviously not all americans are pro guns not all americans support their government treatment of immigrants and foreigners but when it comes to israel suddenly the logic changes,"threatened,stole,outrageous act,poor treatment,alienate"
normal,anyways the fact that her outfit directly violates france law abt no face coverings veils but is still headlined in paris fashion week shows that the law was never abt obscured facial identification but abt white supremacy and islamophobia,"punched,raped,starved,torturing,mugging"
hatespeech,lol what a stupid kike,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,this sounds like a kike national socialist,"false,incorrect,wrong,challenge,persuade,change minds"
offensive,i saw a couple baums and steins in the victim list but that about it ya got more info i thought the school was half spic though,"killed,annhilate,destroy"
offensive,anyway princess sapphire of silverland is a dyke and threw the first brick at stonewall,"killed,annhilate,destroy"
normal,if we could teach a giraffe to paint that would be one handy sumbitch,"killed,annhilate,destroy"
normal,she wanna meet carti that bitch is a barbie 🦋,"rat,monkey,nazi,demon,cancer,monster"
normal,smiling cuz i am young black rich and i am handsome,"punched,raped,starved,torturing,mugging"
offensive,bitches be so fine and got the nerve to like niggas 😒,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> <user> yeah but as people who fall outside of society standard sexual norms maybe theres a reason a lot of queer trans ppl like to talk a bit more openly about their sexuality in certain spaces where they feel safe to do so,"punched,raped,starved,torturing,mugging"
normal,play one game of overwatch after a month away very first game instantly has two players calling people faggots and to kill yourself oh boy i gotta just not play this game at all anymore,"killed,annhilate,destroy"
normal,<user> the irony is they are the ones whose mothers were raped by m invaders,"killed,annhilate,destroy"
normal,<user> <user> is a scheming fraud who fronts a hillbilly cult,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> no idea who these women are they get all the credit for jumping on after the women who been calling for impeachment take the hits and smears and told to go back to where they come from job well done unknown white congress women 🙄,"killed,annhilate,destroy"
offensive,y is big baby davis a faggot on shameless doe,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> <user> babies in cages destroying environment by rolling back regulations siding with white supremacists bad mouthing gold star families shithole countries response to puerto rico that just a few,"threatened,stole,outrageous act,poor treatment,alienate"
normal,related instagram tags for jewelry fashionable designer trendy hairstyle fashion gram fashion blog menswear men style trend,"punched,raped,starved,torturing,mugging"
normal,catch woahs and pull hoes,"false,incorrect,wrong,challenge,persuade,change minds"
normal,now stephanie liking this nigga shit 😔 he getting mad bitches tonight,"punched,raped,starved,torturing,mugging"
normal,remember kids the cucumber is the sluttiest vegetable,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> there was a time that they where shooting young men on demand look at my tweets i did a whole series these people are worse than the nazis and the children get raped and tortured in jail little palestinian children,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> <user> <user> like pretty much anything rooted in nostalgia even tangentially is going down the wrong path because if you are a trans woman of color or disabled queer latina you almost certainly never had all of things and in many cases had none,"rat,monkey,nazi,demon,cancer,monster"
normal,i am going to give my fellow negroes some advice dont show up at white christian schools trying to make connections show up at because you are trying to be a christian the romans originally hated the christians they burned them at the stake and they fed them to lions,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,the flag of the maga fags in all it glory it comes with nigger red shoes too,"punched,raped,starved,torturing,mugging"
hatespeech,if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,just another dumb nigger,"punched,raped,starved,torturing,mugging"
hatespeech,<user> the cunt of a retarded nigger pissed beads of shit into asshole of a jew kike,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,ok give us your defense of nigger dogs tell us how they are not all like that lol i bet you are gonna sound just like some mudshark taking up for actual niggers lol,"punched,raped,starved,torturing,mugging"
hatespeech,<user> white people have agency unlike mudslime sandniggers who kill random pedastrians without a voice all that is left is violence we will come for journalists and google executives first they will regret what they have done white rebellion free weev weev did nothing wrong just like hitler,"killed,annhilate,destroy"
hatespeech,<user> you first kike,"killed,annhilate,destroy"
hatespeech,jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,yet another sand nigger slaughters innocents hey libscum i hope your sweet little tender daughters are next you brought this scum here now live with it,"punched,raped,starved,torturing,mugging"
hatespeech,damn dat wetback needs to strap in those moobs,"punched,raped,starved,torturing,mugging"
hatespeech,i tire with you all day same just blah blah blah kike you will see it a dream cheese puff boy go bed it a school night 😉,"killed,annhilate,destroy"
normal,zion goes down after slipping and tearing out of his shoes he limps off on his own power jack white in to the game,"false,incorrect,wrong,challenge,persuade,change minds"
normal,feisty little girl white walker giant feisty young woman the night king nuff said got,"rat,monkey,nazi,demon,cancer,monster"
normal,silk sheets and diamonds all white,"killed,annhilate,destroy"
offensive,ion hang wit bitches who niggas are insecure,"threatened,stole,outrageous act,poor treatment,alienate"
normal,cat dicks have barbs so it can scrape out competing sperm,"rat,monkey,nazi,demon,cancer,monster"
normal,lmao the vikings suck get these niggas out of our city,"killed,annhilate,destroy"
normal,the gap between blackpink and other artists 🤭,"rat,monkey,nazi,demon,cancer,monster"
normal,girls like a mix of protective let me be a slut,"punched,raped,starved,torturing,mugging"
